age,gender,porient_1,country,care1,care3,care4,care8,care11,care12,care13,care14,equalFairness6,equalFairness10,equality2,equality4,equality6,equality10,equality11,propFairness1,propFairness3,propFairness8,propFairness9,proportionality5,proportionality9,proportionality12,proportionality17,loyalty3,loyalty5,loyalty6,loyalty8,loyalty12,loyalty13,loyalty14,loyalty16,loyalty_new1,authority1,authority4,authority6,authority8,authority11,authority14,authority17,authority18,authority20,purity2,purity3,purity4,purity6,purity7,purity9,purity13,purity14,purity17,attention1,attention2,attention3,first_language,religion,religiosity_1,education,status
39,1,4,Argentina,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,2,2,1,2,3,1,2,5,2,2,5,2,3,1,3,2,4,3,2,2,4,2,1,5,1,3,1,5,5,1,2,5,1,5,4,3,5,2,Español,6,2,3,5
44,0,5,Japan,5,5,3,4,3,3,5,3,3,5,4,4,4,3,4,4,3,3,4,5,5,4,3,4,4,3,3,5,4,3,4,4,4,5,4,5,5,4,4,4,3,4,4,4,4,4,2,3,4,5,3,5,2,日本,6,0,2,6
85,1,4,France,3,3,4,5,4,4,3,3,1,5,1,3,1,1,4,1,3,3,1,3,5,2,3,5,5,4,4,4,4,3,4,3,2,1,3,1,4,1,5,4,5,1,3,2,1,4,3,1,4,2,3,5,2,franças,1,5,NA,8
25,0,3,Kenya,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,4,5,5,2,5,3,2,5,1,5,3,5,2,5,2,3,5,5,5,4,5,5,5,4,5,4,3,5,5,3,5,3,3,5,2,English,1,8,3,7
28,0,5,Chile,5,3,5,4,4,3,3,3,2,5,4,1,1,3,2,4,4,4,3,3,5,3,3,3,5,4,5,2,5,5,5,3,1,3,3,5,4,4,3,4,3,1,5,5,1,2,1,3,5,4,3,5,2,español,6,7,4,6
21,0,8,Columbia,4,4,5,4,4,5,4,4,2,2,3,3,1,2,1,4,5,4,4,4,5,4,4,1,2,5,2,3,4,5,1,1,5,1,2,4,1,2,1,5,3,2,2,5,1,2,1,1,4,4,3,5,2,español,1,7,6,6
53,0,6,South Africa,4,5,5,4,4,5,5,5,3,1,3,3,2,1,2,5,5,5,3,5,5,4,5,5,5,5,5,5,4,4,4,5,4,3,5,5,4,5,4,5,5,3,5,5,5,4,3,5,3,4,3,5,2,Afrikaans,1,6,3,5
39,1,10,Chile,3,4,5,5,4,4,5,5,2,4,2,1,1,1,4,5,5,5,5,4,5,4,5,5,5,5,4,5,5,4,4,5,2,4,4,4,4,5,4,5,5,3,4,4,3,3,2,3,4,3,3,5,2,Español,1,9,4,2
28,1,8,Kenya,4,4,5,5,5,4,2,5,1,1,3,1,2,4,2,2,4,5,1,4,3,3,1,4,1,5,3,4,5,5,4,5,3,4,3,5,4,4,2,4,1,4,4,2,1,5,4,1,4,3,3,5,2,luhya,1,6,4,4
34,0,9,Peru,4,5,5,5,5,5,5,4,3,1,3,2,1,2,2,5,5,5,4,4,5,5,5,4,4,5,2,4,3,5,3,4,2,2,4,4,4,4,5,5,4,3,5,5,4,3,2,1,5,2,3,5,2,Español,1,6,5,8
23,0,10,Nigeria,2,3,2,3,2,2,4,5,1,2,3,1,1,1,1,4,2,4,2,1,3,1,4,3,3,4,3,3,3,4,3,1,2,1,2,3,3,2,3,4,3,3,4,4,4,1,3,1,4,1,3,5,2,English,1,5,4,5
30,1,8,Argentina,2,4,5,3,4,3,2,3,1,1,1,1,1,1,1,4,4,5,5,5,5,5,5,4,1,3,2,2,1,2,2,1,4,4,5,4,4,4,4,4,3,1,2,4,1,2,1,1,4,5,3,5,2,Español,6,0,4,5
46,1,6,Columbia,5,3,5,5,5,5,5,5,4,4,4,3,4,3,5,4,4,3,2,2,5,2,2,4,2,3,2,5,2,5,2,4,5,2,3,4,3,3,2,5,5,2,5,4,3,4,5,2,5,4,3,5,2,español,7,8,2,2
40,1,4,Chile,4,5,5,4,4,5,4,4,4,5,4,3,3,4,4,5,4,5,4,4,5,4,5,4,4,5,3,5,5,4,4,4,4,4,4,5,5,4,4,4,5,3,4,4,2,3,3,3,5,4,3,5,2,español,1,7,4,7
57,1,3,New Zealand,4,4,5,4,4,4,4,4,4,3,3,3,3,3,4,4,3,4,3,3,5,3,3,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4,3,3,4,2,4,3,2,4,2,2,4,3,3,5,2,English,1,6,5,8
33,0,7,Nigeria,5,5,5,5,5,5,3,5,2,3,3,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,3,5,5,3,3,5,3,5,3,5,3,3,3,1,3,5,3,5,2,English,2,7,4,4
52,0,8,Ireland,4,4,5,5,5,5,5,5,2,3,3,2,2,3,5,2,4,2,3,3,4,3,4,2,2,4,2,2,3,3,1,2,5,3,3,4,2,4,2,4,4,5,5,5,5,5,2,3,4,4,3,5,2,English,1,7,4,4
67,0,5,France,2,1,4,2,2,2,1,2,5,4,5,5,5,4,5,5,4,4,4,5,5,5,5,4,5,4,5,2,5,3,5,1,4,4,4,4,4,5,3,5,5,1,1,3,1,5,5,2,5,5,3,5,2,français,1,0,3,3
30,1,2,South Africa,3,3,3,2,3,3,2,4,3,5,5,3,3,5,4,3,2,3,3,3,3,4,3,1,3,2,3,1,3,3,2,2,3,3,3,5,1,2,2,2,4,3,3,3,1,3,3,3,3,5,3,5,2,Zulu,1,3,4,5
28,1,5,Switzerland,3,4,4,5,3,4,3,2,3,3,3,3,2,3,3,3,2,3,3,3,5,4,3,5,4,4,3,3,3,3,2,3,3,3,3,4,5,3,5,5,3,3,4,4,1,3,3,1,3,2,3,5,2,Français,1,10,5,7
26,0,5,France,5,5,4,5,5,5,5,5,4,5,5,5,3,5,5,4,5,5,3,5,5,4,5,4,5,4,3,3,5,5,4,2,5,5,3,4,4,5,4,5,2,2,5,4,5,5,5,3,3,5,3,5,2,français,1,6,4,7
